image_path,text
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\177.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\178.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\179.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\180.jpg,y = z x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\181.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\182.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\183.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\184.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\185.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\186.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\187.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\188.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\189.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\190.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\191.jpg,\frac { b - a } { n } \leq \alpha
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\192.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\193.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\194.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\195.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\196.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\197.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\198.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\199.jpg,\sqrt { b ^ { 2 } - 4 a c }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\200.jpg,\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\201.jpg,\frac { \sin \theta + \cos \theta + \tan \theta } { x + y + z }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\202.jpg,c ( 0 ) = 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\203.jpg,\left( x ^ { 3 } - x ^ { 2 } - x \right) \left( 2 x - 7 \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\204.jpg,x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\205.jpg,a + b + c + d + e
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\206.jpg,x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\207.jpg,\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\208.jpg,\sin x - \sin y - \sin \left( x - y \right)
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\209.jpg,\frac { \tan \alpha - \tan \beta } { 1 + \tan \alpha \tan \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\210.jpg,\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\211.jpg,\lim _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\212.jpg,1 + \frac { 1 } { 1 ! } + \frac { 1 } { 2 ! } + \frac { 1 } { 3 ! } + \frac { 1 } { 4 ! }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\213.jpg,y ( \phi )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\214.jpg,\lim _ { x \rightarrow \frac { \pi } { 2 } + 0 } \tan x = - \infty
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\215.jpg,\int \left( 2 ^ { x } - 3 e ^ { x } \right) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\216.jpg,\frac { 1 } { a } F \left( a x + b \right) + C
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\217.jpg,\frac { \sin B + \sin C } { \cos B + \cos C }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\218.jpg,\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\219.jpg,3 0 \times 2 9 x ^ { 2 8 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\220.jpg,\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\221.jpg,\lim _ { x \rightarrow \frac { 1 } { 4 } } \frac { 1 - 4 ^ { x - \frac { 1 } { 4 } } } { 1 - 4 x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\222.jpg,x _ { 1 } + x _ { 2 } = x _ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\223.jpg,x _ { i } - x _ { i + 1 } + x _ { i + 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\224.jpg,\cos ( a + b ) = \cos a \cos b - \sin a \sin b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\225.jpg,a x + b y + c z + d = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\226.jpg,e = 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\227.jpg,a _ { n } = n ^ { - \beta }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\228.jpg,0 \pm 1 4 5 - 3 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\229.jpg,\frac { 1 } { 1 0 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\230.jpg,x ^ { n } = z
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\231.jpg,e ^ { X } e ^ { Y }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\232.jpg,( ( 3 1 \div 5 2 ) - ( 2 1 \div 1 2 0 ) ) \times 1 0 2 \geq 4 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\233.jpg,\sin ( a - b ) = \sin a \cos b - \cos a \sin b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\234.jpg,\frac { 1 } { 5 0 0 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\235.jpg,e ^ { - 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\236.jpg,1 0 0 \pm 1 5 \times 1 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\237.jpg,\frac { \beta } { \alpha - 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\238.jpg,1 + 2 + 3 + \ldots + ( n - 1 ) + n
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\239.jpg,( n + 3 )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\240.jpg,x ^ { 2 } + 2 x + 1 = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\241.jpg,\pm i a
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\242.jpg,1 0 + 6 7 \leq 7 7
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\243.jpg,2 ^ { 6 9 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\244.jpg,x _ { ( k ) }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\245.jpg,2 ^ { n ( n - 1 ) }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\246.jpg,1 - 1 + 1 - 1 + \ldots
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\247.jpg,\frac { 1 } { 3 } \frac { 1 } { 3 } \gamma
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\248.jpg,\sqrt { 1 + \frac { 1 } { \sqrt { 2 } } } + \sqrt { 1 - \frac { 1 } { \sqrt { 2 } } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\249.jpg,( ( 9 8 + 1 5 0 ) + ( 7 6 \div 1 6 ) ) + ( ( 9 7 \div 9 2 ) \times 1 5 1 ) \neq 3 2 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\250.jpg,x - n
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\251.jpg,3 2 \pm 1 2 \times 1 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\252.jpg,z = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\253.jpg,( 5 1 - 5 3 + 3 1 ) - ( ( 1 8 6 \times 2 1 ) \times ( 1 6 1 \div 1 0 3 ) ) \neq - 8 2 4 8
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\254.jpg,\frac { a ^ { 2 } } { b ^ { 2 } } = a ^ { k }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\255.jpg,x ^ { 4 } - 4 x ^ { 3 } \sqrt { 2 } + 2 x ^ { 2 } + 4 x \sqrt { 2 } + 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\256.jpg,c = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos \gamma }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\257.jpg,2 ^ { n } - 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\258.jpg,\gamma = \pi - \alpha - \beta
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\259.jpg,\cos ( a + b ) = \cos ( a ) \cos ( b ) - \sin ( a ) \sin ( b )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\260.jpg,3 0 - 1 8 0 + 7 0 \neq 2 9 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\261.jpg,3 ^ { n + 1 } + 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\262.jpg,x ^ { 2 } - x - 1 = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\263.jpg,1 - ( - 1 ) ^ { d }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\264.jpg,x ^ { 2 } + x + 1 = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\265.jpg,( \gamma )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\266.jpg,7 \pm ( 1 1 1 \div ( 2 8 + 2 3 ) ) \times ( ( 5 3 + 1 8 7 ) \times ( 1 7 9 \div 1 4 7 ) )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\267.jpg,1 8 9 \pm 1 5 9 \times ( 5 0 \times 9 9 )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\268.jpg,1 \pm 2 0 - 1 7 3
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\269.jpg,( x + 1 ) ( 8 x ^ { 3 } - 4 x ^ { 2 } - 4 x + 1 ) = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\270.jpg,\sqrt { 2 + \sqrt { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\271.jpg,6 = 2 ^ { 1 } ( 2 ^ { 2 } - 1 )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\272.jpg,\cos ( 2 x ) = \cos ^ { 2 } ( x ) - \sin ^ { 2 } ( x )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\273.jpg,1 7 2 - 1 1 1 - 5 5 - 1 8 7 \neq - 8 3
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\274.jpg,4 0 - ( 1 3 4 - ( 1 4 4 \div 1 5 4 ) ) \geq - 9 3
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\275.jpg,3 a + 2 \leq 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\276.jpg,x \times ( - \infty )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\277.jpg,1 2 \pm ( ( 2 9 \times 6 ) + 2 2 ) + ( ( 4 7 \times 1 3 3 ) - ( 8 6 - 1 8 7 ) )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\278.jpg,n \log ( n )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\279.jpg,\frac { 2 } { 3 } n ^ { 3 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\280.jpg,b _ { 0 } = 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\281.jpg,0 = \frac { d ^ { 2 } y } { d x ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\282.jpg,n - 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\283.jpg,( 2 + 3 i )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\284.jpg,n = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\285.jpg,y = \frac { 1 } { x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\286.jpg,8 3 \pm ( ( 1 7 9 \div 2 3 ) - ( 1 4 9 + 1 5 1 ) ) \div 8 8
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\287.jpg,5 9 + 5 3 \neq - 6 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\288.jpg,x ^ { \frac { 1 } { 2 } ( 1 + \frac { 1 } { 2 ^ { 2 } } ) ( 1 + \frac { 1 } { 2 ^ { 4 } } ) ( 1 + \frac { 1 } { 2 ^ { 8 } } ) }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\289.jpg,1 4 6 \times ( 1 0 1 + 1 5 7 - 1 8 1 ) = 1 1 2 4 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\290.jpg,a ^ { 2 } - 2 a b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\291.jpg,n \times d
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\292.jpg,a c = 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\293.jpg,1 2 0 - 1 4 - 1 0 7 \leq 2 1 3
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\294.jpg,6 a ^ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\295.jpg,y ^ { 2 } = \frac { x ^ { 3 } } { 2 a - x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\296.jpg,1 7 9 \times ( ( 1 0 - 7 7 ) \times ( 2 1 + 1 0 2 ) ) \geq - 1 4 7 5 1 3 9
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\297.jpg,n \log _ { 2 } n
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\298.jpg,8 y _ { i + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\299.jpg,3 7 \times 4 5 \geq 1 6 6 4
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\300.jpg,( n - 1 ) 2 ^ { n - 4 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\301.jpg,\cos x + i \sin x = e ^ { i x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\302.jpg,c _ { 1 } = a _ { 1 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\303.jpg,\pi ( e _ { 1 } )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\304.jpg,( a + c ) ^ { 2 } = 1 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\305.jpg,( ( 1 3 8 + 4 2 ) \div 9 3 ) + ( 7 3 + 1 4 1 + 1 6 9 ) > 3 4 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\306.jpg,1 9 2 - 1 6 6 \neq 1 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\307.jpg,"k _ { 1 } , \ldots , k _ { m }"
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\308.jpg,y _ { 1 } + y _ { 3 } = \sqrt { z _ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\309.jpg,\exists x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\310.jpg,( 1 6 6 - 1 2 2 + 3 2 ) + ( ( 1 0 6 \div 3 0 ) \div ( 3 0 \div 1 8 ) ) \geq 7 7
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\311.jpg,x = \phi _ { k i } ( z )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\312.jpg,( 6 9 + 1 7 7 \times 1 3 6 ) + ( 1 1 7 \div 1 4 0 ) > 5 6 1 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\313.jpg,y = y _ { 0 } + t ^ { m } Y
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\314.jpg,\frac { 1 } { - 1 } = \frac { - 1 } { 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\315.jpg,\sqrt { 1 + x }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\316.jpg,( x _ { 1 } + y _ { 1 } \sqrt { n } ) ^ { k }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\317.jpg,7 6 \pm ( 1 0 2 + 1 5 0 ) \times 5 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\318.jpg,4 ^ { 2 } = 2 ^ { 4 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\319.jpg,6 0 - 1 3 6 \geq - 7 6
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\320.jpg,\sqrt { 1 - z ^ { 2 } }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\321.jpg,\theta = \frac { n \times 3 6 0 } { 6 0 \times 1 0 0 0 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\322.jpg,x ^ { 2 } - d y ^ { 2 } = \pm 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\323.jpg,( 2 - 1 - 1 )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\324.jpg,b _ { n } - a _ { n }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\325.jpg,\frac { x ^ { 2 } + y ^ { 2 } } { a ^ { 2 } } - \frac { z ^ { 2 } } { c ^ { 2 } } - 1 = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\326.jpg,( a + b ) ^ { 2 } = a ^ { 2 } + 2 a b + b ^ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\327.jpg,1 0 x = 3
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\328.jpg,1 0 ^ { n } - k
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\329.jpg,b \neq 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\330.jpg,( 7 2 \div 1 5 1 ) \div ( 1 0 \times 1 5 2 ) \leq 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\331.jpg,c ^ { 2 } = ( a - b ) ^ { 2 } + 2 a b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\332.jpg,x + d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\333.jpg,d x ^ { 3 } + ( 4 e - c ^ { 2 } ) x ^ { 2 } - 2 c d x - d ^ { 2 } = 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\334.jpg,5 8 + 4 \geq 6 1
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\335.jpg,1 7 5 \times ( 1 6 2 \times 1 0 3 ) \leq 2 9 2 0 0 5 0
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\336.jpg,x = \beta _ { 3 } y _ { 3 } + \ldots + \beta _ { n + 1 } y _ { n + 1 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\337.jpg,1 0 ^ { - 1 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\338.jpg,x _ { 4 } = - \sqrt { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\339.jpg,1 0 2 + 7 2 \geq 1 7 3
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\340.jpg,\frac { 1 } { \log _ { a } ( b ) }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\341.jpg,x ^ { 3 } = 1 8 x + 3 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\342.jpg,\sin ( - x ) = - \sin ( x )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\343.jpg,y + 1 6 = x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\344.jpg,( 8 1 + ( 3 8 + 1 0 7 ) ) \div 1 5 1 \leq 7 8
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\345.jpg,1 9 9 - 1 5 1 = 4 8
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\346.jpg,a ^ { 2 } - 2 a b = ( a - b ) ^ { 2 } - b ^ { 2 }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\347.jpg,\frac { ( e ^ { i x } - e ^ { - i x } ) } { 2 } = i \sin ( x )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\348.jpg,( n - 1 )
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\349.jpg,\forall x \in X
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\350.jpg,"\exists k , x _ { k }"
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\351.jpg,"\forall x , y"
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\352.jpg,"\forall x \in X , ( \alpha f ) ( x ) = \alpha f ( x )"
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\353.jpg,"\forall t \in ( 0 , 1 )"
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\354.jpg,\lim _ { n \rightarrow \infty } \frac { 1 } { n } \sum f ( \frac { r } { n } ) = \int _ { 0 } ^ { 1 } f ( x ) d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\355.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\356.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\357.jpg,\gamma _ { j k }
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\358.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\359.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\360.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\361.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\362.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\363.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\364.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\365.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\366.jpg,A = \sqrt { a + \frac 1 { \sqrt { a + \frac 1 { \sqrt a } } } } + \sqrt b
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\367.jpg,\lim _ { x \rightarrow \infty } \int _ { 0 } ^ { x } e ^ { - y ^ { 2 } } d y = \frac { \sqrt \pi } 2
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\368.jpg,1 1 3 + ( 1 6 8 \div 8 6 ) \leq 1 1 5
D:\PycharmProjects\finetune-qwenvl\qwen2-vl\latex_ocr\369.jpg,\int _ { a } ^ { b } \frac { \sqrt x } 2 d x
